molecule_chembl_id,canonical_smiles,standard_value
CHEMBL259018,CC(C)(C)OC(=O)NCCc1nnc(S(=O)(=O)Cc2ccc(Cl)cc2Cl)o1,95000.0
CHEMBL406555,O=C(Oc1cccnc1)c1cc2ccccc2oc1=O,70000.0
CHEMBL408636,COc1cccc2cc(C(=O)n3ccc(C)n3)c(=O)oc12,120000.0
CHEMBL460050,[O-][n+]1onc2ccc(/C=N/NC(=S)Nc3ccccc3)cc21,78000.0
CHEMBL470290,[O-][n+]1onc2ccc(/C=N/N=C/c3ccc(O)c(Br)c3)cc21,73000.0
CHEMBL504491,[O-][n+]1onc2ccc(/C=N/N=C/c3ccc(O)cc3)cc21,100000.0
CHEMBL444202,[O-][n+]1onc2ccc(/C=N/N=C/c3ccccc3O)cc21,68000.0
CHEMBL512308,N=C(N)N/N=C/c1ccc(OCc2ccc3no[n+]([O-])c3c2)cc1,32000.0
CHEMBL470902,NC(=S)N/N=C/c1ccc(OCc2ccc3no[n+]([O-])c3c2)cc1,43000.0
CHEMBL459639,NC(=O)N/N=C/c1ccc(OCc2ccc3no[n+]([O-])c3c2)cc1,100000.0
CHEMBL460049,C=CCNC(=S)N/N=C/c1ccc2no[n+]([O-])c2c1,100000.0
CHEMBL460048,NC(=S)N/N=C/c1ccc2no[n+]([O-])c2c1,100000.0
CHEMBL454688,CC(C)C[C@@H]1N[C@@H](C(=O)Nc2ccccc2)CCCCC[C@@H](/C=C/S(=O)(=O)c2ccccc2)NC1=O,2000.0
CHEMBL452863,CC(C)C[C@@H]1N[C@@H](C(=O)Nc2ccccc2)CCCC[C@@H](/C=C/S(=O)(=O)c2ccccc2)NC1=O,10000.0
CHEMBL452599,FC(F)(F)c1ccnc(N/N=C/c2ccccc2)n1,150000.0
CHEMBL510327,Cc1ccccc1/C=N/Nc1nccc(C(F)(F)F)n1,100000.0
CHEMBL455668,Cc1ccc(/C=N/Nc2nccc(C(F)(F)F)n2)cc1,100000.0
CHEMBL455669,FC(F)(F)c1ccnc(N/N=C/c2ccc(Cl)cc2)n1,85000.0
CHEMBL452693,COc1ccc(/C=N/Nc2nccc(C(F)(F)F)n2)cc1,100000.0
CHEMBL453633,O=[N+]([O-])c1ccc(/C=N/Nc2nccc(C(F)(F)F)n2)cc1,100000.0
CHEMBL451256,Cc1cc(C(F)(F)F)nc(N/N=C/c2ccccc2C)n1,100000.0
CHEMBL453634,COc1ccccc1/C=N/Nc1nc(C)cc(C(F)(F)F)n1,150000.0
CHEMBL462539,Cc1cc(C(F)(F)F)nc(N/N=C/c2ccc(Cl)cc2)n1,100000.0
CHEMBL541696,Nc1ncccc1C(=O)OCC(=O)Nc1cc(Cl)ccc1Cl,116000.0
CHEMBL564453,COc1ccc(OC)c(CNC(=O)c2nnc(-c3ccccc3N)o2)c1,45000.0
CHEMBL560043,Nc1ccccc1-c1nnc(C(=O)Nc2cc(-c3cccs3)[nH]n2)o1,102000.0
CHEMBL559646,Nc1ccccc1-c1nnc(C(=O)Nc2cccc(N3CCCC3)c2)o1,99000.0
CHEMBL549410,Cn1ccc(NC(=O)c2nnc(-c3ccccc3N)o2)n1,100000.0
CHEMBL541083,Cc1cc(NC(=O)c2nnc(-c3ccccc3N)o2)n[nH]1,11000.0
CHEMBL556466,CC(C)(C)c1cc(NC(=O)c2nnc(-c3ccccc3N)o2)n[nH]1,2000.0
CHEMBL550751,Nc1ccccc1-c1nnc(C(=O)Nc2cc(-c3ccccc3)[nH]n2)o1,800.0
CHEMBL556465,COc1ccc(-c2cc(NC(=O)c3nnc(-c4ccccc4N)o3)n[nH]2)cc1,200.0
CHEMBL564546,Cc1ccc(-c2cc(NC(=O)c3nnc(-c4ccccc4N)o3)n[nH]2)cc1,500.0
CHEMBL552098,Nc1ccccc1-c1nnc(C(=O)NCCCN2CCCC2=O)o1,100000.0
CHEMBL556464,CCN1CCC[C@H]1CNC(=O)c1nnc(-c2ccccc2N)o1,100000.0
CHEMBL554556,Nc1ccccc1-c1nnc(C(=O)NCCN2CCOCC2)o1,100000.0
CHEMBL555141,Nc1ccccc1-c1nnc(C(=O)NCc2c(Cl)cccc2Cl)o1,8000.0
CHEMBL555241,Cc1cc2cc(NC(=O)c3nnc(-c4ccccc4N)o3)ccc2[nH]1,6000.0
CHEMBL551901,Nc1ccccc1-c1nnc(C(=O)Nc2ccc3oc4c(c3c2)CCCC4)o1,2000.0
CHEMBL572120,Nc1ccccc1-c1nnc(C(=O)NC2Cc3ccccc3C2)o1,11000.0
CHEMBL561904,COc1ccc(NC(=O)c2nnc(-c3ccccc3N)o2)c(OC)c1,3000.0
CHEMBL552725,Nc1ccccc1-c1nnc(C(=O)NC2CCCCCC2)o1,14000.0
CHEMBL564809,Nc1ccccc1-c1nnc(C(=O)NC2CCCCC2)o1,25000.0
